brand,km_drive,fule,owner,selling price,type
Ford,163025,Electric,First,2220908,Sedan
Nissan,51017,Electric,Fourth & Above,961136,Hatchback
Mercedes,177928,Electric,Third,1741896,SUV
Nissan,106039,Diesel,First,2046917,Coupe
Toyota,101551,Hybrid,Second,703916,Hatchback
Chevrolet,129638,Hybrid,First,1283095,SUV
Toyota,60152,Diesel,Fourth & Above,2982886,Convertible
Toyota,93179,Petrol,Third,1954724,Coupe
Honda,25043,Hybrid,Second,2351957,Coupe
BMW,29082,Petrol,Third,474594,Convertible
Honda,106053,Hybrid,First,2450219,Sedan
Volkswagen,129251,Petrol,First,2504456,Coupe
Toyota,71011,Electric,Second,2829244,Sedan
Toyota,154853,Electric,Second,924879,Hatchback
Hyundai,169171,Diesel,Second,946996,Hatchback
Chevrolet,60357,Petrol,Second,494338,Coupe
Ford,100584,Diesel,Fourth & Above,2718641,Coupe
Honda,156541,Hybrid,Fourth & Above,2577514,SUV
Nissan,148774,Petrol,Second,627552,Coupe
Nissan,83847,Petrol,Second,1662077,Hatchback
Toyota,77506,Diesel,Fourth & Above,2885753,SUV
Chevrolet,128896,Diesel,Second,2951200,Sedan
BMW,174897,Petrol,Second,558854,Hatchback
Honda,34148,Hybrid,Second,1750170,SUV
Mercedes,122474,Petrol,First,2599721,Hatchback
Honda,163395,Hybrid,Third,2625095,Hatchback
Volkswagen,84731,Hybrid,First,2221774,SUV
Ford,127710,Diesel,First,101719,Coupe
Volkswagen,40518,Hybrid,Second,1425219,Convertible
Honda,38513,Diesel,Fourth & Above,1397927,Sedan
Hyundai,127299,Petrol,Second,1499140,Convertible
Nissan,179834,Hybrid,Third,480886,Coupe
Toyota,122151,Electric,Second,2513782,Convertible
Honda,135959,Hybrid,First,1707935,Hatchback
Ford,180269,Petrol,Second,673978,SUV
BMW,143677,Electric,Third,248682,SUV
Honda,184482,Petrol,First,2284015,Hatchback
BMW,164301,Petrol,Third,2183417,Hatchback
Toyota,50531,Diesel,First,2839616,Hatchback
Chevrolet,17054,Diesel,Second,194064,Coupe
Ford,21569,Diesel,First,2702191,Sedan
Toyota,153672,Hybrid,First,364140,Convertible
Ford,139782,Hybrid,Fourth & Above,1861614,Convertible
Ford,24991,Petrol,Third,1066387,Coupe
Kia,191137,Electric,Third,1218135,Convertible
Kia,18130,Electric,Third,1076586,SUV
Ford,156126,Electric,Second,1987757,Hatchback
BMW,6353,Diesel,Second,2353038,Sedan
Mercedes,74329,Hybrid,Fourth & Above,275585,Hatchback
Honda,89878,Hybrid,First,1608855,SUV
Chevrolet,191875,Hybrid,Second,840263,Convertible
Volkswagen,34961,Diesel,Second,758886,SUV
Ford,78417,Petrol,First,318863,Hatchback
Kia,70414,Electric,Second,1256651,Sedan
Toyota,102329,Hybrid,Fourth & Above,1609826,Hatchback
Ford,136807,Petrol,Fourth & Above,791196,Sedan
Chevrolet,104076,Petrol,Third,457081,Convertible
Toyota,143289,Diesel,First,921490,SUV
Chevrolet,106434,Petrol,Second,1043941,Sedan
Volkswagen,100726,Diesel,Third,1756719,Convertible
Nissan,37178,Petrol,Third,1490181,Sedan
Chevrolet,85097,Diesel,Second,2583057,Sedan
Ford,186765,Diesel,First,341459,SUV
BMW,86670,Hybrid,First,513294,Convertible
Hyundai,130637,Electric,Fourth & Above,2648300,Sedan
Hyundai,44456,Electric,Fourth & Above,696564,Coupe
Kia,154439,Hybrid,Fourth & Above,291979,Convertible
Honda,187276,Hybrid,Third,147131,Convertible
BMW,71747,Hybrid,Third,1907927,Hatchback
Chevrolet,183089,Electric,Second,1359360,Coupe
Ford,81420,Hybrid,Second,2540711,Hatchback
Mercedes,41866,Diesel,Fourth & Above,1709706,SUV
Hyundai,105756,Diesel,Second,2537078,Convertible
Honda,107726,Petrol,Third,855674,SUV
Mercedes,120231,Hybrid,First,1860843,Convertible
Toyota,12409,Electric,Fourth & Above,243187,Hatchback
Chevrolet,29724,Hybrid,First,688311,Convertible
BMW,146641,Electric,Third,2443741,Coupe
Nissan,98759,Diesel,Third,709039,Sedan
Toyota,29701,Petrol,Third,1983750,Coupe
Kia,33212,Petrol,Third,1256853,Hatchback
Chevrolet,38373,Petrol,Fourth & Above,1191381,Convertible
Nissan,20220,Electric,Third,1555776,Hatchback
Nissan,35060,Petrol,Second,1452087,Coupe
Volkswagen,154891,Hybrid,Third,1645506,Hatchback
Hyundai,89560,Hybrid,Third,2052128,Coupe
BMW,108924,Electric,Fourth & Above,2580814,SUV
Nissan,73053,Petrol,Second,2523412,Sedan
Kia,179877,Petrol,Fourth & Above,1970100,Coupe
Mercedes,198010,Hybrid,First,904204,Convertible
Nissan,70393,Hybrid,Second,2120731,SUV
Volkswagen,183286,Electric,Third,1640090,SUV
Chevrolet,141488,Diesel,First,1515005,Hatchback
Honda,176413,Petrol,Fourth & Above,375377,SUV
BMW,81317,Petrol,Third,156590,Hatchback
Honda,85657,Petrol,First,490497,SUV
Hyundai,142508,Diesel,Fourth & Above,1267675,Convertible
Mercedes,196181,Petrol,Third,769452,Convertible
Toyota,111233,Diesel,First,671095,Convertible
Nissan,173557,Hybrid,Second,280352,Coupe
Hyundai,73512,Diesel,Fourth & Above,579674,Hatchback
Mercedes,112325,Hybrid,Third,2516913,Hatchback
Toyota,184406,Diesel,Third,586797,SUV
Kia,60585,Petrol,Third,2442283,Hatchback
Hyundai,41369,Hybrid,First,1538019,Hatchback
Honda,111579,Petrol,Fourth & Above,2156004,SUV
Hyundai,195517,Hybrid,Second,2343558,SUV
Hyundai,90732,Petrol,Second,1606265,Convertible
Ford,159165,Petrol,Third,182479,SUV
Mercedes,132500,Diesel,Second,1046593,Convertible
